planning_key,milestone,owner,reviewer,effort,title,dependencies
CATMS-062,G4,Dev4,Dev3,L,"Connect Clinical, Catalogue and Invoice frontend","CATMS-052; CATMS-056; CATMS-057"
CATMS-063,G4,Dev4,Dev3,M,"Connect Payment and Reversal frontend","CATMS-053; CATMS-057; CATMS-062"
CATMS-064,G4,Dev5,Dev1,M,"Connect Reports frontend to live API contract","CATMS-055; CATMS-056"
CATMS-065,G4,Dev1,"Dev2; Dev3; Dev4",M,"Remove in-memory database simulations from final mode","CATMS-058; CATMS-059; CATMS-060; CATMS-061; CATMS-062; CATMS-063"
CATMS-066,G4,Dev2,Dev1,S,"Add Administration frontend tests","CATMS-058"
CATMS-067,G4,Dev3,Dev4,S,"Add Patient/Insurance/Claim frontend tests","CATMS-059; CATMS-060"
CATMS-068,G4,Dev4,Dev3,S,"Add Clinical/Billing/Payment frontend tests","CATMS-062; CATMS-063"
CATMS-069,G4,Dev1,All,L,"Implement golden end-to-end browser journey","CATMS-064; CATMS-065; CATMS-066; CATMS-067; CATMS-068"
CATMS-070,G5,Dev5,All,L,"Build realistic deterministic bulk and golden data sets","CATMS-042; CATMS-069"
CATMS-071,G5,Dev5,Dev2,M,"Implement controlled local CSV ingestion","CATMS-055; CATMS-070"
CATMS-072,G5,Dev5,All,L,"Finalize report objects, reconcile totals and tune indexes","CATMS-041; CATMS-064; CATMS-070"
CATMS-073,G5,Dev1,Dev5,M,"Run scheduling concurrency and performance NFR suite","CATMS-031; CATMS-070"
CATMS-074,G5,Dev2,Dev1,M,"Perform complete authentication/RBAC/security audit","CATMS-047; CATMS-065; CATMS-070"
CATMS-075,G5,Dev3,Dev4,M,"Reconcile privacy, policy and claim scenarios at scale","CATMS-040; CATMS-070"
CATMS-076,G5,Dev4,Dev3,M,"Reconcile invoices, payments, reversals and forced rollback","CATMS-036; CATMS-070"
CATMS-077,G5,Dev1,Dev2,L,"Implement reset, backup, restore and offline-start runbook","CATMS-070; CATMS-072"
CATMS-078,G5,Dev5,Dev1,S,"Complete requirements/NFR traceability and evidence index","CATMS-072; CATMS-073; CATMS-074; CATMS-075; CATMS-076; CATMS-077"
CATMS-079,G5,Dev5,Dev2,S,"Run accessibility, usability and second-user test","CATMS-069; CATMS-070"
CATMS-080,G6,Dev1,All,M,"Complete setup, module and troubleshooting runbooks","CATMS-077; CATMS-078"
CATMS-081,G6,Dev5,Dev1,M,"Run full regression and defect triage","CATMS-078; CATMS-079; CATMS-080"
CATMS-082,G6,Dev2,Dev1,S,"Verify clean clone on second machine","CATMS-080; CATMS-081"
CATMS-083,G6,Dev1,"Dev2; Dev5",M,"Build frozen release Compose profile and database artifact","CATMS-077; CATMS-081; CATMS-082"
CATMS-084,G6,Dev5,"Dev1; All",M,"Prepare timed demo, evidence pack and fallback recording","CATMS-081; CATMS-083"
CATMS-085,G6,Dev1,"Dev5; Independent owner",M,"Rehearse, approve go/no-go and tag v1.0-demo","CATMS-083; CATMS-084"
